race,data,time_frame,"time_frame == ""2000"""
Non-Hispanic White,64000,2006,FALSE
Non-Hispanic White,82000,2006,FALSE
Non-Hispanic White,242000,2006,FALSE
Non-Hispanic White,60000,2006,FALSE
Non-Hispanic White,27000,2006,FALSE
Non-Hispanic White,10000,2006,FALSE
Non-Hispanic White,1000,2006,FALSE
Non-Hispanic White,205000,2006,FALSE
Non-Hispanic White,117000,2006,FALSE
Non-Hispanic White,6000,2006,FALSE
Non-Hispanic White,40000,2006,FALSE
Non-Hispanic White,153000,2006,FALSE
Non-Hispanic White,165000,2006,FALSE
Non-Hispanic White,66000,2006,FALSE
Non-Hispanic White,61000,2006,FALSE
Non-Hispanic White,162000,2006,FALSE
Non-Hispanic White,80000,2006,FALSE
Non-Hispanic White,42000,2006,FALSE
Non-Hispanic White,33000,2006,FALSE
Non-Hispanic White,68000,2006,FALSE
